*.event,event,*.timestamp,timestamp,*.distinct_id,distinct_id,*.properties.$geoip_country_name,*.properties.browser_language,*.properties.extension_version,*.properties.error_class,*.properties.error_codes.0,*.properties.error_count,*.properties.reason,*.properties.status,*.properties.session_count,*.properties.session_duration_seconds
extension_installed,extension_installed,2026-07-01T14:11:52.757Z,2026-07-01T14:11:52.757Z,user_1216,user_1216,Switzerland,fr-FR,1.2.1,,,,,,,
extension_installed,extension_installed,2026-07-01T14:12:22.138Z,2026-07-01T14:12:22.138Z,user_1005,user_1005,Spain,fr-FR,1.2.0,,,,,,,
extension_installed,extension_installed,2026-07-01T14:12:48.555Z,2026-07-01T14:12:48.555Z,user_1169,user_1169,France,en-US,1.2.1,,,,,,,
extension_installed,extension_installed,2026-07-01T14:18:28.826Z,2026-07-01T14:18:28.826Z,user_1215,user_1215,United States,pt-BR,1.2.0,,,,,,,
extension_installed,extension_installed,2026-07-01T14:24:37.683Z,2026-07-01T14:24:37.683Z,user_1096,user_1096,Brazil,de-CH,1.2.1,,,,,,,
extension_installed,extension_installed,2026-07-01T14:25:53.210Z,2026-07-01T14:25:53.210Z,user_1038,user_1038,United States,en-US,1.2.0,,,,,,,
extension_installed,extension_installed,2026-07-01T14:41:31.385Z,2026-07-01T14:41:31.385Z,user_1247,user_1247,Brazil,fr-FR,1.2.0,,,,,,,
extension_installed,extension_installed,2026-07-01T14:42:10.538Z,2026-07-01T14:42:10.538Z,user_1088,user_1088,France,es-ES,1.2.1,,,,,,,
extension_installed,extension_installed,2026-07-01T14:44:09.949Z,2026-07-01T14:44:09.949Z,user_1219,user_1219,France,de-CH,1.2.1,,,,,,,
extension_installed,extension_installed,2026-07-01T14:45:41.347Z,2026-07-01T14:45:41.347Z,user_1202,user_1202,United States,de-DE,1.2.1,,,,,,,
extension_installed,extension_installed,2026-07-01T14:46:36.734Z,2026-07-01T14:46:36.734Z,user_1158,user_1158,Brazil,es-ES,1.2.0,,,,,,,
extension_installed,extension_installed,2026-07-01T14:46:57.271Z,2026-07-01T14:46:57.271Z,user_1117,user_1117,Germany,es-ES,1.2.0,,,,,,,
extension_installed,extension_installed,2026-07-01T14:52:27.130Z,2026-07-01T14:52:27.130Z,user_1071,user_1071,Germany,fr-FR,1.2.1,,,,,,,
extension_installed,extension_installed,2026-07-01T14:52:32.029Z,2026-07-01T14:52:32.029Z,user_1210,user_1210,France,en-US,1.2.1,,,,,,,
extension_installed,extension_installed,2026-07-01T14:57:50.807Z,2026-07-01T14:57:50.807Z,user_1183,user_1183,Germany,en-US,1.2.0,,,,,,,
extension_installed,extension_installed,2026-07-01T14:59:03.646Z,2026-07-01T14:59:03.646Z,user_1185,user_1185,Spain,pt-BR,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:01:39.956Z,2026-07-01T15:01:39.956Z,user_1158,user_1158,Spain,en-US,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:02:44.456Z,2026-07-01T15:02:44.456Z,user_1096,user_1096,Germany,en-US,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:03:06.572Z,2026-07-01T15:03:06.572Z,user_1158,user_1158,Spain,hi-IN,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:03:41.523Z,2026-07-01T15:03:41.523Z,user_1117,user_1117,India,pt-BR,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:04:10.136Z,2026-07-01T15:04:10.136Z,user_1096,user_1096,Germany,de-CH,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:04:50.303Z,2026-07-01T15:04:50.303Z,user_1169,user_1169,Brazil,en-US,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:05:42.315Z,2026-07-01T15:05:42.315Z,user_1202,user_1202,Brazil,de-DE,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:06:58.765Z,2026-07-01T15:06:58.765Z,user_1247,user_1247,United States,es-ES,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:08:00.708Z,2026-07-01T15:08:00.708Z,user_1169,user_1169,Brazil,de-DE,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:09:49.350Z,2026-07-01T15:09:49.350Z,user_1005,user_1005,Germany,en-US,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:09:57.814Z,2026-07-01T15:09:57.814Z,user_1005,user_1005,Spain,fr-FR,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:11:34.880Z,2026-07-01T15:11:34.880Z,user_1071,user_1071,Spain,es-ES,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:12:27.792Z,2026-07-01T15:12:27.792Z,user_1117,user_1117,United States,en-US,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:12:39.116Z,2026-07-01T15:12:39.116Z,user_1219,user_1219,Brazil,pt-BR,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:12:50.204Z,2026-07-01T15:12:50.204Z,user_1088,user_1088,Switzerland,en-US,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:13:54.775Z,2026-07-01T15:13:54.775Z,user_1247,user_1247,Germany,pt-BR,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:14:23.030Z,2026-07-01T15:14:23.030Z,user_1183,user_1183,France,de-CH,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:16:25.294Z,2026-07-01T15:16:25.294Z,user_1185,user_1185,France,de-DE,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:18:37.472Z,2026-07-01T15:18:37.472Z,user_1202,user_1202,Germany,pt-BR,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:19:03.369Z,2026-07-01T15:19:03.369Z,user_1071,user_1071,Germany,de-DE,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:20:36.614Z,2026-07-01T15:20:36.614Z,user_1215,user_1215,Germany,hi-IN,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:21:26.453Z,2026-07-01T15:21:26.453Z,user_1202,user_1202,France,pt-BR,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:22:41.928Z,2026-07-01T15:22:41.928Z,user_1210,user_1210,United States,de-CH,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:24:16.441Z,2026-07-01T15:24:16.441Z,user_1210,user_1210,Brazil,pt-BR,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:24:40.675Z,2026-07-01T15:24:40.675Z,user_1202,user_1202,Germany,hi-IN,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:25:18.056Z,2026-07-01T15:25:18.056Z,user_1202,user_1202,Brazil,en-US,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:25:34.156Z,2026-07-01T15:25:34.156Z,user_1210,user_1210,Spain,en-US,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:26:37.835Z,2026-07-01T15:26:37.835Z,user_1005,user_1005,Spain,de-CH,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:27:33.620Z,2026-07-01T15:27:33.620Z,user_1202,user_1202,Spain,fr-FR,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:28:20.758Z,2026-07-01T15:28:20.758Z,user_1088,user_1088,Brazil,pt-BR,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:29:23.717Z,2026-07-01T15:29:23.717Z,user_1216,user_1216,Spain,de-DE,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:30:01.840Z,2026-07-01T15:30:01.840Z,user_1185,user_1185,Brazil,pt-BR,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:30:15.295Z,2026-07-01T15:30:15.295Z,user_1071,user_1071,India,es-ES,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:32:46.900Z,2026-07-01T15:32:46.900Z,user_1005,user_1005,India,de-CH,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:34:26.433Z,2026-07-01T15:34:26.433Z,user_1215,user_1215,Brazil,de-CH,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:35:09.895Z,2026-07-01T15:35:09.895Z,user_1216,user_1216,Switzerland,de-DE,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:38:48.572Z,2026-07-01T15:38:48.572Z,user_1247,user_1247,France,pt-BR,1.2.0,,,,,,,
message_rendered,message_rendered,2026-07-01T15:39:21.095Z,2026-07-01T15:39:21.095Z,user_1096,user_1096,Germany,en-US,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:46:45.481Z,2026-07-01T15:46:45.481Z,user_1088,user_1088,Brazil,de-DE,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:46:49.894Z,2026-07-01T15:46:49.894Z,user_1169,user_1169,Brazil,es-ES,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:49:17.827Z,2026-07-01T15:49:17.827Z,user_1071,user_1071,Switzerland,pt-BR,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:49:37.905Z,2026-07-01T15:49:37.905Z,user_1088,user_1088,Brazil,hi-IN,1.2.1,,,,,,,
message_rendered,message_rendered,2026-07-01T15:50:14.678Z,2026-07-01T15:50:14.678Z,user_1005,user_1005,France,de-CH,1.2.0,,,,,,,
